full_item,stage1_code,stage2_code,combined_target,combine_text,category_stage1,category_stage2,category_combined
Proposal for procurement and mounting of LED strip lighting for cove and accent for exterior site and building-mounted lighting. Includes dimming drivers compatible with 0-10V control system.,26,50,26 50,proposal procurement mounting led strip lighting cove accent exterior site building mount lighting include dim driver compatible v control system,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
"Proposal for installation of bentonite clay waterproofing panels at tunnel and underground utility connections. Membrane to be installed on clean, dry substrate.",07,10,07 10,proposal installation bentonite clay waterproofing panel tunnel underground utility connection membrane instal clean dry substrate,category_stage1_03,category_stage2_002,category_stage1_03__category_stage2_002
Proposal for shop fabrication and field erection of steel angle lintels for masonry openings for second floor and roof framing. Steel to be blast-cleaned and primed with shop primer.,05,10,05 10,proposal shop fabrication field erection steel angle lintel masonry opening second floor roof frame steel blast clean prim shop primer,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
"Supply and install 5000 PSI high-strength concrete for columns for building foundations and footings. Finish to be steel trowel for interior slabs, broom finish for exterior. per project specification Section 03 30 00.",03,30,03 30,supply install psi high strength concrete column build foundation footing finish steel trowel interior slab broom finish exterior project specification section,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
"Proposal for fabrication and installation of foundation footing formwork for elevated slab construction at level 2 through roof. Includes form stripping, cleaning, and concrete surface patching.",03,10,03 10,proposal fabrication installation foundation footing formwork elevated slab construction level roof include form strip cleaning concrete surface patching,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
"Quotation for hollow metal door frames 16-gauge welded for fire-rated corridor and stairwell openings. Hardware to include lever handles, closers, and hinges per hardware schedule. per project specification Section 08 10 00.",08,10,08 10,quotation hollow metal door frame gauge weld fire rat corridor stairwell opening hardware include lever handle closer hinge hardware schedule project specification section,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
"Provide all labor, materials and equipment for built-up roofing (BUR) 4-ply asphalt system for low-slope roof area approximately 45,000 square feet. per project specification Section 07 50 00. System includes 20-year NDL (No Dollar Limit) manufacturer warranty.",07,50,07 50,provide labor material equipment build roof bur ply asphalt system low slope roof area approximately square foot project specification section system include year ndl dollar limit manufacturer warranty,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
Scope of work includes installation of mineral wool semi-rigid insulation board for mechanical room pipe and duct insulation. Includes vapor retarder on warm side of assembly.,07,20,07 20,scope work include installation mineral wool semi rigid insulation board mechanical room pipe duct insulation include vapor retarder warm assembly,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
Furnish and install sound-rated gypsum board assembly STC 50 as indicated on drawings and per ASTM C840 gypsum board application standard. Taping and finishing to Level 4 finish per ASTM C840.,09,20,09 20,furnish install sound rat gypsum board assembly stc indicate drawing astm c gypsum board application standard taping finish level finish astm c,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
Supply and install wired glass for fire-rated openings for building lobby and atrium glazing. Glass thickness and type per structural analysis for wind loads. per glazing contractor shop drawings.,08,80,08 80,supply install wire glass fire rat opening build lobby atrium glazing glass thickness type structural analysis wind load glaze contractor shop drawing,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
fabrication and installation of steel panel forms for walls including all necessary accessories and hardware. per ACI 347 standards.,03,10,03 10,fabrication installation steel panel form wall include necessary accessory hardware aci standard,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
"RE: Plumbing Piping and Pumps – Request for approval: insulated chilled water piping for plumbing for use for sanitary sewer and storm drain piping. Pipe connections: soldered for copper, solvent welded for PVC. per local plumbing code and health department requirements.",22,10,22 10,plumb piping pump request approval insulate chill water piping plumbing use sanitary sewer storm drain piping pipe connection solder copper solvent weld pvc local plumbing code health department requirement,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
